cc00,cc01,cc02,cc03,cc04,cc05,cc06,cc07,cc08,cc09,cc10,cc11,zcr,entropy
-15.056353586951023,3.1837778332153404,0.4069331753783045,0.169705340763417,0.38244800009720104,0.6591261209765737,0.43602274068157554,0.12808731673951892,0.08984883062402453,0.2759347401901979,0.33324354767954695,0.16021320033993353,6.0,1.4956991770426311
-15.207830844237103,3.1702528035645434,0.4324162483817622,0.12758879381086188,0.2884760467118531,0.7013080712997866,0.6294282135990725,0.3107799117669547,0.1389230011096531,0.21608144500222792,0.2711155315695136,0.17116877456895116,8.0,1.6422147568656311
-14.819339307693099,3.0753171750159365,0.4358494211751197,0.20327273617851319,0.3004027861424876,0.5700538454747432,0.4870679825423614,0.25903015519846007,0.1813532716550501,0.2873707396140064,0.32069053623401894,0.15919145190504355,4.0,1.5314854656630454
-14.891225829453518,3.155516981151327,0.3586449748188414,0.13964504914227227,0.29664462416101156,0.6758834064178785,0.5637168119398791,0.2957374161196791,0.11627015459200594,0.20752868792877663,0.24785448638979754,0.19967932365551821,6.0,1.5433283043329111
-15.07797649175714,3.1681688562707397,0.5942056441791984,0.2734583765897691,0.2153800181620137,0.4256143272207085,0.4010445408155169,0.24100711408802677,0.18568700109581282,0.24690340189474452,0.34384087858688994,0.2567240957204763,4.0,1.6627157745377636
-15.237937780575084,3.167181409776485,0.626647468457354,0.36818934439582457,0.31372609087277936,0.4720017372543073,0.45084137471132013,0.2862493595649694,0.17713362622627188,0.1708369840266222,0.200854837635739,0.14449603339482772,4.0,1.3723146817757839
-14.713724739358575,3.0004233942118415,0.533773433596837,0.37269221801212904,0.35605222364072664,0.5554218232899015,0.46853113996677453,0.32473618200926013,0.24564013099628113,0.2941738150806271,0.31294100164567645,0.206780675001946,4.0,1.5435852684965203
-15.474585617295102,3.212788034697764,0.648867635345962,0.2935441843002353,0.15695977137418218,0.35606769370865066,0.43403407570437125,0.4081011969136254,0.27388923315214253,0.2730819032124927,0.277447641913954,0.2404727082090604,6.0,1.5339561248028744
-15.51269909966691,3.394335197536517,0.6049883385553285,0.2029811124445564,0.1973629805548623,0.4682679323289738,0.4131291077480207,0.25574161499739523,0.16157402049701725,0.29319008391288154,0.2614464879239751,0.12704484300296204,4.0,1.6819227783600632
-15.48006569650894,3.2977751003283235,0.34996350764542,0.05113276235792466,0.317359494182799,0.7662893816099723,0.6061457139470934,0.32006547857378653,0.20462873762479997,0.3833685902479734,0.37259636927057005,0.23925838946674977,6.0,1.5312339171243246
-15.109050769958294,3.237549778372032,0.5068173608122925,0.15970161208929595,0.1973938134826776,0.48392314608583065,0.49614659386344934,0.406557988976051,0.30887671099345293,0.3106217193881542,0.2410298220175841,0.11492029324647607,6.0,1.6003692697454142
-14.953842992744233,3.074277582395601,0.483719398242964,0.2350049002619324,0.23689099895947535,0.4938232525998493,0.515973353574703,0.3810936319313277,0.22978850583918237,0.21593527009958896,0.16430736526842946,0.16158748430404096,4.0,1.5976308272252222
-15.26703723199758,3.3492009197669947,0.5663371895926457,0.2836519569763639,0.2918535677040258,0.529669575317103,0.46433827924318155,0.3567481737706788,0.30767433611305234,0.31066286394576503,0.1358442355252482,0.007116447779621426,4.0,1.3363973236185518
-15.20915858183505,3.1263783337037867,0.4607996538075534,0.16840755023225928,0.18854058926381956,0.4236106164512013,0.3784035169000546,0.306867525983646,0.2602393862722973,0.29217712600782625,0.2094754754315697,0.06808541698579372,6.0,1.7142472861646636
-15.527403167394768,3.490563005626942,0.624579023643299,0.2329300128966439,0.3112499792764908,0.6096344397748599,0.4942068973349237,0.25873846825930547,0.060812294585437895,0.0709972507934467,0.12273370344263106,0.08835243777138159,4.0,1.614602607144276
-15.568026333551893,3.0518108489500735,0.3574195579738306,0.007405883331544798,0.024327418991933233,0.35741892107463297,0.4068804285057207,0.2614922442333144,0.09634137947071635,0.1292368874891057,0.17698391507395206,0.19556110491487755,8.0,1.6594815543117902
